n_mfcc,test_size,kernel,C,gamma,accuracy
13,0.2,linear,0.1,,0.7172172172172172
13,0.2,linear,1.0,,0.7332332332332332
13,0.2,linear,10.0,,0.7417417417417418
13,0.2,linear,100.0,,0.7382382382382382
13,0.2,rbf,0.1,scale,0.7072072072072072
13,0.2,rbf,0.1,0.01,0.6606606606606606
13,0.2,rbf,0.1,0.1,0.6146146146146146
13,0.2,rbf,0.1,1,0.15315315315315314
13,0.2,rbf,1.0,scale,0.8368368368368369
13,0.2,rbf,1.0,0.01,0.7732732732732732
13,0.2,rbf,1.0,0.1,0.8893893893893894
13,0.2,rbf,1.0,1,0.3788788788788789
13,0.2,rbf,10.0,scale,0.9014014014014013
13,0.2,rbf,10.0,0.01,0.8643643643643644
13,0.2,rbf,10.0,0.1,0.9009009009009009
13,0.2,rbf,10.0,1,0.4099099099099099
13,0.2,rbf,100.0,scale,0.9024024024024024
13,0.2,rbf,100.0,0.01,0.8923923923923924
13,0.2,rbf,100.0,0.1,0.9009009009009009
13,0.2,rbf,100.0,1,0.4099099099099099
13,0.3,linear,0.1,,0.7130463797130464
13,0.3,linear,1.0,,0.7247247247247247
13,0.3,linear,10.0,,0.7287287287287287
13,0.3,linear,100.0,,0.7287287287287287
13,0.3,rbf,0.1,scale,0.6966966966966966
13,0.3,rbf,0.1,0.01,0.6536536536536537
13,0.3,rbf,0.1,0.1,0.5929262595929262
13,0.3,rbf,0.1,1,0.14647981314647981
13,0.3,rbf,1.0,scale,0.8288288288288288
13,0.3,rbf,1.0,0.01,0.7714381047714381
13,0.3,rbf,1.0,0.1,0.8772105438772105
13,0.3,rbf,1.0,1,0.37671004337671005
13,0.3,rbf,10.0,scale,0.8982315648982315
13,0.3,rbf,10.0,0.01,0.8585251918585252
13,0.3,rbf,10.0,0.1,0.8928928928928929
13,0.3,rbf,10.0,1,0.40540540540540543
13,0.3,rbf,100.0,scale,0.8985652318985652
13,0.3,rbf,100.0,0.01,0.8892225558892226
13,0.3,rbf,100.0,0.1,0.8928928928928929
13,0.3,rbf,100.0,1,0.40540540540540543
13,0.4,linear,0.1,,0.7132132132132132
13,0.4,linear,1.0,,0.7237237237237237
13,0.4,linear,10.0,,0.728978978978979
13,0.4,linear,100.0,,0.723973973973974
13,0.4,rbf,0.1,scale,0.6941941941941941
13,0.4,rbf,0.1,0.01,0.6461461461461462
13,0.4,rbf,0.1,0.1,0.5780780780780781
13,0.4,rbf,0.1,1,0.14214214214214213
13,0.4,rbf,1.0,scale,0.8265765765765766
13,0.4,rbf,1.0,0.01,0.7662662662662663
13,0.4,rbf,1.0,0.1,0.8678678678678678
13,0.4,rbf,1.0,1,0.3818818818818819
13,0.4,rbf,10.0,scale,0.8896396396396397
13,0.4,rbf,10.0,0.01,0.8511011011011012
13,0.4,rbf,10.0,0.1,0.8851351351351351
13,0.4,rbf,10.0,1,0.4134134134134134
13,0.4,rbf,100.0,scale,0.8856356356356356
13,0.4,rbf,100.0,0.01,0.8736236236236237
