n_mfcc,test_size,kernel,C,gamma,accuracy
13,0.4,rbf,100.0,0.1,0.8851351351351351
13,0.4,rbf,100.0,1,0.4134134134134134
20,0.2,linear,0.1,,0.7517517517517518
20,0.2,linear,1.0,,0.7632632632632632
20,0.2,linear,10.0,,0.7617617617617618
20,0.2,linear,100.0,,0.7597597597597597
20,0.2,rbf,0.1,scale,0.7072072072072072
20,0.2,rbf,0.1,0.01,0.6866866866866866
20,0.2,rbf,0.1,0.1,0.4724724724724725
20,0.2,rbf,0.1,1,0.16766766766766766
20,0.2,rbf,1.0,scale,0.8458458458458459
20,0.2,rbf,1.0,0.01,0.8078078078078078
20,0.2,rbf,1.0,0.1,0.8533533533533534
20,0.2,rbf,1.0,1,0.2722722722722723
20,0.2,rbf,10.0,scale,0.9134134134134134
20,0.2,rbf,10.0,0.01,0.8903903903903904
20,0.2,rbf,10.0,0.1,0.8633633633633634
20,0.2,rbf,10.0,1,0.2957957957957958
20,0.2,rbf,100.0,scale,0.9159159159159159
20,0.2,rbf,100.0,0.01,0.9059059059059059
20,0.2,rbf,100.0,0.1,0.8633633633633634
20,0.2,rbf,100.0,1,0.2957957957957958
20,0.3,linear,0.1,,0.7500834167500834
20,0.3,linear,1.0,,0.7580914247580914
20,0.3,linear,10.0,,0.760427093760427
20,0.3,linear,100.0,,0.7547547547547547
20,0.3,rbf,0.1,scale,0.6976976976976977
20,0.3,rbf,0.1,0.01,0.6760093426760093
20,0.3,rbf,0.1,0.1,0.44411077744411076
20,0.3,rbf,0.1,1,0.16049382716049382
20,0.3,rbf,1.0,scale,0.8415081748415082
20,0.3,rbf,1.0,0.01,0.8104771438104772
20,0.3,rbf,1.0,0.1,0.8455121788455122
20,0.3,rbf,1.0,1,0.2699366032699366
20,0.3,rbf,10.0,scale,0.9105772439105773
20,0.3,rbf,10.0,0.01,0.8888888888888888
20,0.3,rbf,10.0,0.1,0.8595261928595261
20,0.3,rbf,10.0,1,0.2859526192859526
20,0.3,rbf,100.0,scale,0.9122455789122456
20,0.3,rbf,100.0,0.01,0.8965632298965632
20,0.3,rbf,100.0,0.1,0.8595261928595261
20,0.3,rbf,100.0,1,0.2859526192859526
20,0.4,linear,0.1,,0.7444944944944945
20,0.4,linear,1.0,,0.7494994994994995
20,0.4,linear,10.0,,0.7492492492492493
20,0.4,linear,100.0,,0.7464964964964965
20,0.4,rbf,0.1,scale,0.6874374374374375
20,0.4,rbf,0.1,0.01,0.6676676676676677
20,0.4,rbf,0.1,0.1,0.4189189189189189
20,0.4,rbf,0.1,1,0.14189189189189189
20,0.4,rbf,1.0,scale,0.8335835835835835
20,0.4,rbf,1.0,0.01,0.8035535535535535
20,0.4,rbf,1.0,0.1,0.8423423423423423
20,0.4,rbf,1.0,1,0.24624624624624625
20,0.4,rbf,10.0,scale,0.9031531531531531
20,0.4,rbf,10.0,0.01,0.8833833833833834
20,0.4,rbf,10.0,0.1,0.8553553553553553
20,0.4,rbf,10.0,1,0.2682682682682683
20,0.4,rbf,100.0,scale,0.8998998998998999
20,0.4,rbf,100.0,0.01,0.8898898898898899
20,0.4,rbf,100.0,0.1,0.8553553553553553
20,0.4,rbf,100.0,1,0.2682682682682683
