trial_id,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,best_round,cv_logloss_mean,cv_logloss_std,cv_accuracy_mean,cv_accuracy_std
0,0.6872700594236812,3.6010467344475403,0.06504856968981275,6,5,202,0.00010291881465670109,0.002802849769496466,0.7296244459829335,32,1.4424878867528161,0.0642802991565684,0.5782625786163522,0.029196307558058125
1,0.6668543055695109,1.931084870540406e-07,0.040957144541603416,6,2,443,0.31044435499483225,0.00892622738184373,0.5909124836035503,76,1.2109760836162164,0.07418967234325353,0.632059748427673,0.016985036966586188
2,0.5917022549267169,5.472429642032198e-06,0.0199473547030745,5,9,148,0.0005284111125757584,0.061691603037343404,0.5233328316068078,148,1.392580590123463,0.061112492807006195,0.5757783018867925,0.03223777955136299
3,0.9868777594207296,1.2443486010325558e-06,0.0016766527469302226,7,3,463,0.00042472707398058225,0.4490677404109781,0.5232252063599989,35,2.2345603881279628,0.005673428878687396,0.539504716981132,0.03759629265067387
4,0.8037724259507192,3.425445902633376e-07,0.0014492412389916862,5,9,415,0.0011737996092661858,0.05315650460410773,0.5079831261101071,23,2.276393422735562,0.0015549730635953645,0.45314465408805027,0.04835696233365984
5,0.6154469128110744,1.476485527035526e-06,0.04926364988526881,5,13,363,2.039373116525212e-08,11.779794101330705,0.6293899908000085,148,1.335774339938056,0.07488228776230377,0.5733018867924529,0.03696203961810698
6,0.831261142176991,6.388511557344611e-06,0.01942099825171803,3,4,409,1.9134610757932285e-08,5.90216120103914,0.7248770666848828,128,1.4445129007075286,0.05800285881676813,0.5820283018867924,0.025887654525224412
7,0.6975751180009072,2.1874079799487576,0.06332000185282426,8,8,561,5.805581976088804e-07,0.001593999043568401,0.6626651653816322,51,1.334378040880316,0.0681843396324679,0.6033018867924529,0.020293574480197897
8,0.6943386448447411,2.7678419414850017e-06,0.11294923622078903,3,9,351,0.0029060844403562135,0.017206074702554055,0.6481367528520412,77,1.1748304555170042,0.08356927233280767,0.6170283018867925,0.014254456311690781
9,0.5826334695315012,1.382699037945253e-08,0.011189657849413852,2,12,235,1.1212412169964432e-08,4.476305242680426,0.8534286719238086,146,1.6870012681926572,0.042459987737246574,0.5144654088050314,0.03367294474183576
10,0.8645035840204937,0.08738424135626986,0.00152551885793314,8,10,140,1.716473409066866,6.393310307063141,0.7247253370691017,10,2.293035533310108,0.0007052613358312908,0.4480974842767296,0.031818462958852725
11,0.5477050582452057,2.17452432291623e-05,0.04537335394667876,6,3,271,0.005470376807480391,9.37905380401463,0.7361074625809747,71,1.386041803454875,0.06336673331503045,0.599567610062893,0.03642943831994007
12,0.5597971229691509,0.02625445968759339,0.07665788170871725,3,7,354,2.0165774425168896e-06,0.001517141482146489,0.8553314448428937,114,1.1341435404301479,0.10403320320510268,0.6195518867924528,0.022738026396955005
13,0.5554454104059157,8.995566465852161e-05,0.0031599697383525734,9,7,340,6.748446817464346e-06,0.18920501825415298,0.9537832369630466,94,2.033803412216077,0.01871299570568306,0.5420204402515723,0.05459772933533066
14,0.6246461145744375,4.9368087974032924e-05,0.07440322909623881,5,13,259,0.002453517717010258,1.2901386652687716,0.9402339195076288,77,1.2335022969451095,0.06946468896892886,0.5882783018867925,0.022454217493211966
15,0.8121770240668966,4.578288672385767e-06,0.001825248807094868,5,12,207,4.776728196949699e-07,9.910483966084707,0.7696711209578253,105,2.1984397936354645,0.006976864790059661,0.46685534591194966,0.017613947656642644
16,0.9037200775820313,1.16097187606918,0.0061338502201741816,2,1,476,0.006748559555809631,0.001005378956729769,0.6762844281670846,118,1.8375303474124873,0.037761505789045996,0.518191823899371,0.04479127185836636
17,0.6523906290790145,3.033211391057483e-07,0.02103799040280046,7,5,324,1.1989147575590843e-07,0.03247461864697117,0.9714548519562596,90,1.3806289778479943,0.06039869390942003,0.6057940251572327,0.028292370430135237
18,0.6616014660103776,0.0004667836070663388,0.05513954848805309,2,14,596,1.928584737076551e-06,0.012743656837267761,0.8481521364198942,106,1.278846654494135,0.08117262413080173,0.5719889937106919,0.015449975482674808
19,0.856135294962221,2.1517032190107035e-07,0.29615847301836046,4,1,101,0.0003342806277473177,0.0017001083930806495,0.6393232321183058,52,1.1755170314102954,0.12461258171120732,0.6332704402515723,0.01285716542096578
20,0.9541329429833268,1.4323759352560882e-06,0.0022851892235553474,5,10,259,0.0009463195268496258,0.4503758554986515,0.5404266631663577,28,2.254718871214105,0.0026567938903032232,0.4506053459119498,0.03389210666496422
21,0.6848272280307022,1.5116089146878039e-06,0.09760556079350484,6,4,197,0.005032310118297565,0.2504541462577912,0.5451448850272042,61,1.1326993608588656,0.08262719911568786,0.6208097484276729,0.024053810932551645
22,0.917651247794619,7.709400093120135e-06,0.0028975368407468498,6,3,247,8.582822811754835e-06,0.009683801423947556,0.855574766219009,66,2.0658019804467194,0.01750531160040109,0.5670283018867924,0.039327404102243314
23,0.9047505230698577,1.3740226301938833e-05,0.0017307764564676925,2,1,523,3.024252976134463e-05,15.626213095342772,0.5687604720729966,96,2.2278117897206884,0.004069979047583601,0.4768946540880503,0.03842557399644939
24,0.6705331755251293,1.050175037995661e-07,0.19524423350212713,7,10,198,1.1401190340140422e-06,0.006071477958471642,0.9910841716647179,62,1.1723040699976301,0.10454695869963232,0.6020676100628931,0.03985775866743954
25,0.7583179456355071,2.225679232473883e-06,0.29365757950446286,7,12,552,1.2698795062871437,0.6830806621753385,0.6695148955243504,42,1.2296959221215316,0.08017071276101827,0.587004716981132,0.014723556223534051
26,0.6746047873063304,0.03416654859330391,0.16682106627319299,9,6,219,0.9770817213609811,6.45223006109561,0.9678174971104738,63,1.1644886388287163,0.09207624150844733,0.6020440251572328,0.03026199618721866
27,0.8926703255569718,0.010492870003991251,0.02744297388220333,9,14,572,0.009365175535873002,0.0010535649755588846,0.5804040257087493,123,1.4319295153326395,0.06227995424146818,0.5507625786163521,0.03128483976184139
28,0.7743668946832931,0.01686773538090171,0.04120852721203149,2,4,260,1.4543812687035209e-08,0.16263800928161543,0.5894113546106644,197,1.1559310896457657,0.09338855831889561,0.6107940251572328,0.015772380067182748
29,0.6832343922914299,0.04983502810350691,0.06107389382483698,9,1,275,6.967434753443191e-08,0.044290260796914005,0.6326011838408627,75,1.1047995219934064,0.09405464732914999,0.6421147798742138,0.03620923245925217
30,0.6219948216895418,5.716036492601785,0.009413491373461895,7,8,382,8.11987398985281e-05,0.03692695353263881,0.8225516810152824,56,1.9376547678489728,0.028692995802681795,0.5169575471698112,0.03951203114492572
31,0.8344620298315498,0.5991120927108871,0.003717036455046942,9,3,103,1.6551741608613844e-08,0.7759928779676626,0.5885553397035245,20,2.220334608712286,0.006338794807063889,0.5470361635220126,0.046550166133434524
32,0.9702292921764571,3.8490822633646453,0.18459928994811223,4,12,332,3.7813477875563253,0.030255840291883586,0.776382483417745,66,1.5112951146254798,0.05736786609500408,0.5219025157232704,0.012808806675881568
33,0.7861462345854191,6.652490353085203,0.0015368865581893484,6,5,515,0.4573303711170018,0.026236037644516635,0.5847463733430462,61,2.2199004707565098,0.006970647768039331,0.4868867924528302,0.029350787325472777
34,0.7784006312291751,2.663133682430129,0.05298466627430952,9,14,379,7.590466336756462e-07,1.0110925354201408,0.679323390648082,89,1.363415143786455,0.06950510005666968,0.564504716981132,0.020174126301243173
