test_size,random_state,optimizer,neuro_4,neuro_3,neuro_2,neuro_1,n_layers,dropout_n,dropout,batch_size,EPOCHS,LOSS,ACCURACY
0.2,0,rmsprop,32,64,128,512,3,0.5,False,32,10,0.4738016128540039,0.8708708882331848
0.4,42,rmsprop,64,32,256,256,2,0.25,True,32,10,0.5247282981872559,0.8348348140716553
0.3,99,rmsprop,64,64,64,512,3,0.25,False,32,10,0.48966988921165466,0.868868887424469
0.3,0,adam,16,128,256,128,3,0.5,True,32,10,0.7316348552703857,0.7534201145172119
0.4,0,adam,16,32,256,256,4,0.5,False,32,10,0.48638954758644104,0.8588588833808899
0.2,42,adam,64,128,256,512,3,0.5,False,32,10,0.46878594160079956,0.8838838934898376
0.4,0,rmsprop,16,64,128,128,3,0.25,True,32,10,0.6169387698173523,0.7875375151634216
0.3,42,rmsprop,16,128,128,256,2,0.25,True,32,10,0.5102951526641846,0.8288288116455078
0.2,42,adam,16,32,64,512,3,0.25,True,32,10,0.47090286016464233,0.8448448181152344
0.3,0,adam,32,128,256,256,2,0.5,True,32,10,0.5438496470451355,0.8188188076019287
0.2,99,adam,32,64,64,256,3,0.5,True,32,10,0.7329915761947632,0.7657657861709595
0.4,0,rmsprop,64,128,128,512,3,0.25,True,32,10,0.48697125911712646,0.8415915966033936
0.2,0,rmsprop,32,32,128,128,2,0.25,True,32,10,0.5249688625335693,0.8243243098258972
0.2,0,rmsprop,16,128,256,128,3,0.25,True,32,10,0.47343122959136963,0.8403403162956238
0.3,99,adam,32,128,128,512,2,0.25,True,32,10,0.38270285725593567,0.872539222240448
0.2,0,adam,16,64,128,512,3,0.25,False,32,10,0.42896702885627747,0.8743743896484375
0.3,0,rmsprop,64,128,64,256,4,0.25,True,32,10,0.5451629757881165,0.8091424703598022
0.4,0,adam,16,32,64,512,4,0.25,True,32,10,0.6645046472549438,0.782282292842865
0.2,42,rmsprop,32,64,256,512,2,0.5,False,32,10,0.45204973220825195,0.8833833932876587
0.3,99,adam,64,64,256,128,3,0.25,False,32,10,0.47672486305236816,0.8508508801460266
0.4,99,adam,64,32,64,128,2,0.25,False,32,10,0.48355644941329956,0.8393393158912659
0.2,0,rmsprop,16,32,128,512,4,0.5,True,32,10,1.1087970733642578,0.672672688961029
0.2,0,adam,16,32,256,256,3,0.25,False,32,10,0.41302937269210815,0.8833833932876587
0.4,0,adam,64,64,64,128,2,0.5,True,64,10,0.8887587785720825,0.6984484195709229
0.2,0,adam,32,64,64,128,2,0.25,True,64,10,0.6341744065284729,0.781781792640686
0.4,42,adam,16,32,256,256,3,0.25,True,64,10,0.5682374238967896,0.8120620846748352
0.3,0,adam,32,32,64,512,3,0.25,False,64,10,0.48034682869911194,0.845178484916687
0.2,42,rmsprop,64,64,128,512,2,0.25,False,64,10,0.4421352446079254,0.8673673868179321
0.4,99,adam,16,64,256,256,4,0.5,True,64,10,1.1884911060333252,0.6198698878288269
0.2,99,adam,64,128,256,512,2,0.25,True,64,10,0.3819698989391327,0.8718718886375427
0.4,99,rmsprop,16,128,256,256,2,0.25,True,64,10,0.47912418842315674,0.837087094783783
0.4,0,adam,16,32,128,128,3,0.25,True,64,10,0.6942819356918335,0.7665165066719055
0.2,99,rmsprop,16,128,256,256,2,0.5,False,64,10,0.40346628427505493,0.8773773908615112
0.4,42,rmsprop,16,128,64,128,2,0.5,False,64,10,0.5945939421653748,0.7962962985038757
0.2,99,rmsprop,16,64,256,512,4,0.25,True,64,10,0.48217904567718506,0.8553553819656372
0.3,99,rmsprop,32,64,128,128,4,0.25,True,128,10,0.7607960104942322,0.7450783848762512
0.4,0,adam,32,32,64,512,2,0.25,False,128,10,0.4983370006084442,0.8270770907402039
0.2,99,adam,64,64,128,256,3,0.25,True,128,10,0.5461872816085815,0.8223223090171814
0.3,42,rmsprop,64,32,64,256,4,0.25,False,128,10,0.6037479043006897,0.796463131904602
0.3,42,rmsprop,16,64,256,128,2,0.25,False,128,10,0.576755940914154,0.8041374683380127
0.4,42,rmsprop,64,64,128,128,3,0.5,True,128,10,1.0421887636184692,0.650650680065155
0.3,0,adam,32,64,256,512,3,0.25,True,128,10,0.4563579261302948,0.8441774845123291
0.4,0,adam,64,128,128,512,4,0.25,True,128,10,0.5579514503479004,0.8120620846748352
0.3,99,rmsprop,16,128,64,256,3,0.5,True,128,10,0.8456175327301025,0.73606938123703
0.3,99,adam,32,128,128,256,2,0.25,True,128,10,0.5295395255088806,0.8335001468658447
0.3,0,rmsprop,32,128,64,512,3,0.5,False,128,10,0.4490163326263428,0.845178484916687
0.4,99,adam,32,128,128,256,3,0.5,True,128,10,0.8805897831916809,0.7069569826126099
0.2,99,rmsprop,16,64,64,512,4,0.5,True,128,10,1.2235745191574097,0.6486486196517944
0.3,0,adam,64,64,128,256,4,0.5,True,128,10,1.1219521760940552,0.624290943145752
0.4,99,rmsprop,16,64,128,256,4,0.5,True,128,10,1.4209084510803223,0.5192692875862122
