MFCC_N,K_N,TEST_SIZE,RANDOM_STATE,ACCURACY
1,16,0.2,0,0.495
1,16,0.2,42,0.48
1,16,0.2,99,0.505
1,16,0.3,0,0.4866666666666667
1,16,0.3,42,0.48333333333333334
1,16,0.3,99,0.48333333333333334
1,16,0.4,0,0.4825
1,16,0.4,42,0.46
1,16,0.4,99,0.495
1,17,0.1,0,0.5
1,17,0.1,42,0.48
1,17,0.1,99,0.55
1,17,0.2,0,0.495
1,17,0.2,42,0.485
1,17,0.2,99,0.505
1,17,0.3,0,0.4766666666666667
1,17,0.3,42,0.4766666666666667
1,17,0.3,99,0.4766666666666667
1,17,0.4,0,0.485
1,17,0.4,42,0.4675
1,17,0.4,99,0.5
1,18,0.1,0,0.48
1,18,0.1,42,0.48
1,18,0.1,99,0.5
1,18,0.2,0,0.49
1,18,0.2,42,0.48
1,18,0.2,99,0.495
1,18,0.3,0,0.4666666666666667
1,18,0.3,42,0.47333333333333333
1,18,0.3,99,0.48
1,18,0.4,0,0.485
1,18,0.4,42,0.4625
1,18,0.4,99,0.5075
1,19,0.1,0,0.5
1,19,0.1,42,0.47
1,19,0.1,99,0.49
1,19,0.2,0,0.485
1,19,0.2,42,0.485
1,19,0.2,99,0.505
1,19,0.3,0,0.48333333333333334
1,19,0.3,42,0.45666666666666667
1,19,0.3,99,0.48333333333333334
1,19,0.4,0,0.4825
1,19,0.4,42,0.45
1,19,0.4,99,0.4875
1,20,0.1,0,0.49
1,20,0.1,42,0.47
1,20,0.1,99,0.51
1,20,0.2,0,0.49
1,20,0.2,42,0.475
1,20,0.2,99,0.475
1,20,0.3,0,0.48
1,20,0.3,42,0.4633333333333333
1,20,0.3,99,0.49333333333333335
1,20,0.4,0,0.4775
1,20,0.4,42,0.455
1,20,0.4,99,0.49
1,21,0.1,0,0.46
1,21,0.1,42,0.45
1,21,0.1,99,0.51
1,21,0.2,0,0.49
1,21,0.2,42,0.475
1,21,0.2,99,0.49
1,21,0.3,0,0.48
1,21,0.3,42,0.47333333333333333
1,21,0.3,99,0.48
1,21,0.4,0,0.47
1,21,0.4,42,0.455
1,21,0.4,99,0.49
1,22,0.1,0,0.49
1,22,0.1,42,0.48
1,22,0.1,99,0.5
1,22,0.2,0,0.495
1,22,0.2,42,0.475
1,22,0.2,99,0.495
