MFCC_N,K_N,TEST_SIZE,RANDOM_STATE,ACCURACY
1,16,0.2,42,0.58
1,16,0.2,99,0.585
1,16,0.3,0,0.58
1,16,0.3,42,0.5566666666666666
1,16,0.3,99,0.53
1,16,0.4,0,0.5625
1,16,0.4,42,0.585
1,16,0.4,99,0.555
1,17,0.1,0,0.61
1,17,0.1,42,0.58
1,17,0.1,99,0.58
1,17,0.2,0,0.595
1,17,0.2,42,0.58
1,17,0.2,99,0.57
1,17,0.3,0,0.58
1,17,0.3,42,0.58
1,17,0.3,99,0.5333333333333333
1,17,0.4,0,0.57
1,17,0.4,42,0.5875
1,17,0.4,99,0.54
1,18,0.1,0,0.59
1,18,0.1,42,0.58
1,18,0.1,99,0.55
1,18,0.2,0,0.575
1,18,0.2,42,0.555
1,18,0.2,99,0.565
1,18,0.3,0,0.5766666666666667
1,18,0.3,42,0.57
1,18,0.3,99,0.53
1,18,0.4,0,0.5675
1,18,0.4,42,0.5825
1,18,0.4,99,0.5425
1,19,0.1,0,0.6
1,19,0.1,42,0.59
1,19,0.1,99,0.55
1,19,0.2,0,0.57
1,19,0.2,42,0.555
1,19,0.2,99,0.54
1,19,0.3,0,0.56
1,19,0.3,42,0.5966666666666667
1,19,0.3,99,0.5133333333333333
1,19,0.4,0,0.56
1,19,0.4,42,0.5675
1,19,0.4,99,0.525
1,20,0.1,0,0.59
1,20,0.1,42,0.59
1,20,0.1,99,0.55
1,20,0.2,0,0.575
1,20,0.2,42,0.565
1,20,0.2,99,0.54
1,20,0.3,0,0.5633333333333334
1,20,0.3,42,0.59
1,20,0.3,99,0.5166666666666667
1,20,0.4,0,0.56
1,20,0.4,42,0.575
1,20,0.4,99,0.5275
1,21,0.1,0,0.57
1,21,0.1,42,0.58
1,21,0.1,99,0.54
1,21,0.2,0,0.565
1,21,0.2,42,0.565
1,21,0.2,99,0.545
1,21,0.3,0,0.56
1,21,0.3,42,0.5833333333333334
1,21,0.3,99,0.5166666666666667
1,21,0.4,0,0.565
1,21,0.4,42,0.575
1,21,0.4,99,0.52
1,22,0.1,0,0.56
1,22,0.1,42,0.59
1,22,0.1,99,0.54
1,22,0.2,0,0.565
1,22,0.2,42,0.565
1,22,0.2,99,0.545
1,22,0.3,0,0.57
1,22,0.3,42,0.57
1,22,0.3,99,0.52
1,22,0.4,0,0.565
1,22,0.4,42,0.56
1,22,0.4,99,0.5225
1,23,0.1,0,0.54
1,23,0.1,42,0.59
1,23,0.1,99,0.54
1,23,0.2,0,0.56
1,23,0.2,42,0.575
1,23,0.2,99,0.55
1,23,0.3,0,0.56
1,23,0.3,42,0.5666666666666667
