MFCC_N,K_N,TEST_SIZE,RANDOM_STATE,ACCURACY
1,1,0.1,0,0.8078078078078078
1,1,0.1,42,0.7837837837837838
1,1,0.1,99,0.7997997997997998
1,1,0.2,0,0.8128128128128128
1,1,0.2,42,0.7862862862862863
1,1,0.2,99,0.8023023023023023
1,1,0.3,0,0.8041374708041374
1,1,0.3,42,0.7851184517851184
1,1,0.3,99,0.7947947947947948
1,1,0.4,0,0.789039039039039
1,1,0.4,42,0.7722722722722722
1,1,0.4,99,0.7815315315315315
1,2,0.1,0,0.7757757757757757
1,2,0.1,42,0.7597597597597597
1,2,0.1,99,0.7577577577577578
1,2,0.2,0,0.7707707707707707
1,2,0.2,42,0.7517517517517518
1,2,0.2,99,0.7632632632632632
1,2,0.3,0,0.7687687687687688
1,2,0.3,42,0.7424090757424091
1,2,0.3,99,0.7514180847514181
1,2,0.4,0,0.7442442442442443
1,2,0.4,42,0.7377377377377378
1,2,0.4,99,0.7387387387387387
1,3,0.1,0,0.7847847847847848
1,3,0.1,42,0.7617617617617618
1,3,0.1,99,0.7707707707707707
1,3,0.2,0,0.7802802802802803
1,3,0.2,42,0.7602602602602603
1,3,0.2,99,0.7807807807807807
1,3,0.3,0,0.7797797797797797
1,3,0.3,42,0.7580914247580914
1,3,0.3,99,0.7767767767767768
1,3,0.4,0,0.7605105105105106
1,3,0.4,42,0.7542542542542543
1,3,0.4,99,0.7607607607607607
1,4,0.1,0,0.7797797797797797
1,4,0.1,42,0.7627627627627628
1,4,0.1,99,0.7627627627627628
1,4,0.2,0,0.7752752752752753
1,4,0.2,42,0.7582582582582582
1,4,0.2,99,0.7637637637637638
1,4,0.3,0,0.7681014347681014
1,4,0.3,42,0.7494160827494161
1,4,0.3,99,0.7704371037704371
1,4,0.4,0,0.7512512512512513
1,4,0.4,42,0.746996996996997
1,4,0.4,99,0.753003003003003
1,5,0.1,0,0.7717717717717718
1,5,0.1,42,0.7627627627627628
1,5,0.1,99,0.7627627627627628
1,5,0.2,0,0.7737737737737738
1,5,0.2,42,0.7567567567567568
1,5,0.2,99,0.7632632632632632
